Number,Cell,Slice,Date,Sample,Mouse,Mouse date of birth,Mouse age,Mouse gender,Mouse genotype,Targeted layer,Inferred layer,Cre,Exon reads,Intron reads,Intergenic reads,Sequencing batch,Number of genes detected,RNA family,RNA type,RNA type confidence,RNA type top-3,ALM/VISp top-3,Length (bp),Yield (pg/µl),User,Hold Time (min),Soma depth (µm),Soma depth (4x),Cortical thickness (4x),Cortical thickness (µm),Traced,Exclusion reasons
1,20171204_sample_2,20171204_slice_2,12/4/2017,sample 2,mouse_GTOKH,10/29/2017,36,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,10315633,1060515,947943,1,15953,ET,L5 ET_1,0.88,L5 ET_1 (88.3%),,,,,,,,,,,
2,20171204_sample_4,20171204_slice_4,12/4/2017,sample 4,mouse_GTOKH,10/29/2017,36,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,5272324,2706142,1216945,1,17906,IT,L5 IT_2,0.52,L5 IT_2 (51.9%),,,,,,,,,,,
3,20171204_sample_5,20171204_slice_5,12/4/2017,sample 5,mouse_GTOKH,10/29/2017,36,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,18172944,5610782,1541985,1,20974,IT,L5 IT_1,0.97,L5 IT_1 (97.0%),L5 IT ALM Cpa6 Gpr88 (55.0%),,,,,,,,,,
4,20171204_sample_6,20171204_slice_6,12/4/2017,sample 6,mouse_GTOKH,10/29/2017,36,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,6226321,6139027,1366216,1,18091,ET,L5 ET_4,0.94,L5 ET_4 (94.0%),,,,,,,,,,,
5,20171207_sample_1,20171207_slice_1,12/7/2017,sample 1,mouse_UGZSW,9/18/2017,80,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST-,3786954,5386523,1499012,1,23100,ET,L5 ET_1,0.91,L5 ET_1 (90.7%),,,,,,,,,,,
6,20171207_sample_2,20171207_slice_2,12/7/2017,sample 2,mouse_UGZSW,9/18/2017,80,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST-,8720847,7844835,2052263,1,24833,ET,L5 ET_1,0.9,L5 ET_1 (89.7%),,,,,,,,,,,
7,20171207_sample_6,20171207_slice_6,12/7/2017,sample 6,mouse_UGZSW,9/18/2017,80,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST-,11706332,7897632,1570407,1,20130,IT,L5 IT_1,0.94,L5 IT_1 (94.4%),,,,,,,,,,,
8,20171207_sample_7,20171207_slice_7,12/7/2017,sample 7,mouse_UGZSW,9/18/2017,80,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST-,10300710,3742528,994934,1,21402,IT,L5 IT_1,0.49,L5 IT_1 (49.0%),,,,,,,,,,,
9,20171219_sample_1,20171219_slice_1,12/19/2017,sample 1,mouse_KKXUD,10/19/2017,61,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,227299,310804,40074,3,11141,IT,L4/5 IT_2,0.99,L4/5 IT_2 (99.1%),L5 IT ALM Lypd1 Gpr88 (96.0%),2356,410.96,Fede,10,805.2,282.9,604.2,1667.592,y,
10,20171219_sample_2,20171219_slice_2,12/19/2017,sample 2 ,mouse_KKXUD,10/19/2017,61,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,3392481,1859939,441786,1,18440,IT,L5 IT_1,0.99,L5 IT_1 (99.4%),L5 IT ALM Cpa6 Gpr88 (73.0%),,,,,,,,,,
