Number,Cell,Slice,Date,Sample,Mouse,Mouse date of birth,Mouse age,Mouse gender,Mouse genotype,Targeted layer,Inferred layer,Cre,Exon reads,Intron reads,Intergenic reads,Sequencing batch,Number of genes detected,RNA family,RNA type,RNA type confidence,RNA type top-3,ALM/VISp top-3,Length (bp),Yield (pg/µl),User,Hold Time (min),Soma depth (µm),Soma depth (4x),Cortical thickness (4x),Cortical thickness (µm),Traced,Exclusion reasons
11,20171219_sample_3,20171219_slice_3,12/19/2017,sample 3,mouse_KKXUD,10/19/2017,61,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,427369,453683,79849,1,12376,IT,L4/5 IT_2,0.99,L4/5 IT_2 (99.4%),L5 IT ALM Lypd1 Gpr88 (68.0%),,,,,,,,,,
12,20171219_sample_4,20171219_slice_4,12/19/2017,sample 4,mouse_KKXUD,10/19/2017,61,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,980179,592515,101977,2,12747,ET,L5 ET_1,0.96,L5 ET_1 (95.6%),L5 PT VISp Krt80 (97.0%),2222,515.48,Fede,8,911.6,332.7,599.8,1655.448,,
13,20171219_sample_6,20171219_slice_6,12/19/2017,sample 6,mouse_KKXUD,10/19/2017,61,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,2471422,3168436,549646,1,18199,ET,L5 ET_2,0.82,L5 ET_2 (81.6%),,,,,,,,,,,
14,20171219_sample_7,20171219_slice_7,12/19/2017,sample 7,mouse_KKXUD,10/19/2017,61,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1060473,251288,95858,1,14483,IT,L5 IT_1,0.61,L5 IT_1 (61.3%),,,,,,,,,,,
15,20171219_sample_8,20171219_slice_8,12/19/2017,sample 8,mouse_KKXUD,10/19/2017,61,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,6440446,745288,278593,1,18360,ET,L5 ET_1,0.88,L5 ET_1 (88.3%),,,,,,,,,,,
16,20180102_sample_1,20180102_slice_1,1/2/2018,sample 1,mouse_HXCVU,10/19/2017,75,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1242323,1373770,310531,1,17573,ET,L5 ET_1,1,L5 ET_1 (100.0%),L5 PT ALM Slco2a1 (99.0%),2417,543.91,Fede,13,690,251.2,523.8,1445.688,y,
17,20180102_sample_2,20180102_slice_2,1/2/2018,sample 2,mouse_HXCVU,10/19/2017,75,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1500863,2292323,484154,1,20942,IT,L5 IT_1,0.61,L5 IT_1 (60.9%),,,,,,,,,,,
18,20180102_sample_3,20180102_slice_3,1/2/2018,sample 3,mouse_HXCVU,10/19/2017,75,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,451976,633174,107891,1,15478,ET,L5 ET_1,1,L5 ET_1 (99.7%),L5 PT ALM Slco2a1 (94.0%),,,,,,,,,,
19,20180102_sample_4,20180102_slice_4,1/2/2018,sample 4,mouse_HXCVU,10/19/2017,75,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,8136289,9307202,2326755,1,21702,ET,L5 ET_1,0.92,L5 ET_1 (91.7%),,,,,,,,,,,
20,20180102_sample_5,20180102_slice_5,1/2/2018,sample 5,mouse_HXCVU,10/19/2017,75,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,5405143,4146131,1093120,1,20304,IT,L4/5 IT_2,0.86,L4/5 IT_2 (86.0%),,,,,,,,,,,
21,20180103_sample_1,20180103_slice_1,1/3/2018,sample 1,mouse_BXLFB,10/27/2017,68,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,441628,616429,103467,2,13790,ET,L5 ET_1,0.91,L5 ET_1 (91.3%),,,,,,,,,,,
22,20180103_sample_2,20180103_slice_2,1/3/2018,sample 2,mouse_BXLFB,10/27/2017,68,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,7817990,13265394,2283480,1,22341,ET,L5 ET_1,0.95,L5 ET_1 (95.0%),L5 PT ALM Slco2a1 (99.0%),2148,736.07,Fede,10,1001.9,363.3,578.9,1597.764,y,
23,20180103_sample_3,20180103_slice_3,1/3/2018,sample 3,mouse_BXLFB,10/27/2017,68,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1377121,78374,53639,2,10559,ET,L5 ET_1,0.98,L5 ET_1 (98.0%),L5 PT ALM Slco2a1 (100.0%),2083,368.84,Fede,10,1060.8,389.4,669.1,1846.716,,
24,20180103_sample_4,20180103_slice_4,1/3/2018,sample 4,mouse_BXLFB,10/27/2017,68,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1192979,85242,84992,2,5990,low quality,,,,,1548,116.17,Fede,6,1105.8,391.5,581.7,1605.492,,
25,20180103_sample_5,20180103_slice_5,1/3/2018,sample 5,mouse_BXLFB,10/27/2017,68,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,688127,1781619,235324,2,14498,IT,L5 IT_1,0.97,L5 IT_1 (97.1%),L5 IT ALM Cpa6 Gpr88 (81.0%),,,,,,,,,,
26,20180103_sample_6,20180103_slice_6,1/3/2018,sample 6,mouse_BXLFB,10/27/2017,68,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1689601,2614811,422908,2,14013,IT,L5 IT_1,0.99,L5 IT_1 (99.1%),L5 IT ALM Cpa6 Gpr88 (45.0%),,,,,,,,,,
27,20180103_sample_7,20180103_slice_7,1/3/2018,sample 7,mouse_BXLFB,10/27/2017,68,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1118512,1255511,193438,1,13201,IT,L5 IT_1,0.93,L5 IT_1 (92.9%),,,,,,,,,,,
28,20180103_sample_8,20180103_slice_8,1/3/2018,sample 8,mouse_BXLFB,10/27/2017,68,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1959765,1536151,257920,2,12909,IT,L5 IT_3,0.54,L5 IT_3 (54.3%),,,,,,,,,,,
29,20180104_sample_1,20180104_slice_1,1/4/2018,sample 1,mouse_UALZV,10/27/2017,69,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,112690,13545,14594,2,3182,low quality,,,,,1544,56.29,Fede,7,625,245.7,512,1413.12,,
30,20180104_sample_2,20180104_slice_2,1/4/2018,sample 2,mouse_UALZV,10/27/2017,69,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,326578,569047,68680,2,10261,IT,L5 IT_3,0.48,L5 IT_3 (48.0%),,,,,,,,,,,
31,20180104_sample_3,20180104_slice_3,1/4/2018,sample 3,mouse_UALZV,10/27/2017,69,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,8552519,2122716,558279,1,20383,IT,L4/5 IT_2,0.86,L4/5 IT_2 (85.6%),,,,,,,,,,,
32,20180104_sample_4,20180104_slice_4,1/4/2018,sample 4,mouse_UALZV,10/27/2017,69,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,65302,4948,6337,2,1772,low quality,,,,,1559,27.08,Fede,7,528.4,191.4,494.8,1365.648,,
33,20180104_sample_6,20180104_slice_6,1/4/2018,sample 6,mouse_UALZV,10/27/2017,69,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,174024,137524,25972,3,11684,ET,L5 ET_4,0.48,L5 ET_4 (47.9%),,,,,,,,,,,
34,20180105_sample_4,20180105_slice_4,1/5/2018,sample 4,mouse_LYQJP,10/27/2017,70,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,5257425,4258865,1027630,1,17438,IT,L5 IT_1,0.62,L5 IT_1 (61.7%),,,,,,,,,,,
35,20180105_sample_5,20180105_slice_5,1/5/2018,sample 5,mouse_LYQJP,10/27/2017,70,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,3736746,2728967,660163,1,16139,IT,L5 IT_1,0.91,L5 IT_1 (91.0%),,,,,,,,,,,
36,20180105_sample_6,20180105_slice_6,1/5/2018,sample 6,mouse_LYQJP,10/27/2017,70,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1902533,1807065,451233,1,14647,IT,L5 IT_1,0.45,L5 IT_1 (45.0%),,,,,,,,,,,
37,20180108_sample_1,20180108_slice_1,1/8/2018,sample 1,mouse_OOSLW,11/5/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1457748,1784110,258283,2,13414,IT,L5 IT_1,1,L5 IT_1 (99.6%),L5 IT ALM Cpa6 Gpr88 (57.0%),,,,,,,,,,
38,20180108_sample_2,20180108_slice_2,1/8/2018,sample 2,mouse_OOSLW,11/5/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,510888,308130,52741,2,3980,low quality,,,,,1503,74.09,Fede,10,802.9,285.5,587.5,1621.5,,
39,20180108_sample_3,20180108_slice_3,1/8/2018,sample 3,mouse_OOSLW,11/5/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,469764,44224,42607,2,13133,IT,L5 IT_1,0.82,L5 IT_1 (81.7%),,,,,,,,,,,
40,20180108_sample_4,20180108_slice_4,1/8/2018,sample 4,mouse_OOSLW,11/5/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1069590,1035606,161359,2,5639,ET,L5 ET_4,0.49,L5 ET_4 (48.9%),,,,,,,,,,,
41,20180108_sample_5,20180108_slice_5,1/8/2018,sample 5,mouse_OOSLW,11/5/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,147672,13964,23361,1,16535,ET,L5 ET_2,0.58,L5 ET_2 (57.7%),,,,,,,,,,,
42,20180108_sample_7,20180108_slice_7,1/8/2018,sample 7,mouse_OOSLW,11/5/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1471939,1268100,306428,1,12693,IT,L5 IT_1,0.97,L5 IT_1 (96.9%),L5 IT VISp Hsd11b1 Endou (44.0%),,,,,,,,,,
43,20180108_sample_8,20180108_slice_8,1/8/2018,sample 8,mouse_OOSLW,11/5/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,812213,949428,126805,2,11579,ET,L5 ET_1,0.94,L5 ET_1 (93.9%),,,,,,,,,,,
44,20180108_sample_9,20180108_slice_9,1/8/2018,sample 9,mouse_OOSLW,11/5/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,439766,518015,99561,3,15279,IT,L5 IT_1,0.92,L5 IT_1 (92.1%),,,,,,,,,,,
45,20180108_sample_10,20180108_slice_10,1/8/2018,sample 10,mouse_OOSLW,11/5/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1505286,1726024,385868,1,11858,ET,L5 ET_1,0.96,L5 ET_1 (95.7%),L5 PT VISp Krt80 (97.0%),2240,344.79,Fede,10,703.3,260.8,556.8,1536.768,,
46,20180109_sample_1,20180109_slice_1,1/9/2018,sample 1,mouse_TYCES,11/5/2017,65,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,346497,523419,72836,2,6404,IT,L5 IT_1,0.73,L5 IT_1 (72.7%),,,,,,,,,,,
47,20180109_sample_2,20180109_slice_2,1/9/2018,sample 2,mouse_TYCES,11/5/2017,65,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,151090,263133,31657,2,9340,IT,L5 IT_3,0.55,L5 IT_3 (55.0%),,,,,,,,,,,
48,20180109_sample_5,20180109_slice_5,1/9/2018,sample 5,mouse_TYCES,11/5/2017,65,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1240954,280662,88761,1,11447,IT,L5 IT_1,0.72,L5 IT_1 (72.3%),,,,,,,,,,,
49,20180110_sample_1,20180110_slice_1,1/10/2018,sample 1,mouse_GUIGR,11/5/2017,66,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,965944,1042843,156185,2,11722,IT,L5 IT_1,0.85,L5 IT_1 (84.6%),,,,,,,,,,,
50,20180110_sample_2,20180110_slice_2,1/10/2018,sample 2,mouse_GUIGR,11/5/2017,66,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,466145,579941,137643,3,12188,IT,L5 IT_2,0.55,L5 IT_2 (54.6%),,,,,,,,,,,
51,20180110_sample_3,20180110_slice_3,1/10/2018,sample 3,mouse_GUIGR,11/5/2017,66,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,2251846,580294,118602,2,14118,IT,L5 IT_1,1,L5 IT_1 (99.6%),L5 IT ALM Cpa6 Gpr88 (99.0%),2091,961.24,Fede,10,854,311.1,646.6,1784.616,,
52,20180110_sample_4,20180110_slice_4,1/10/2018,sample 4,mouse_GUIGR,11/5/2017,66,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1285922,716623,125098,2,10352,IT,L5 IT_1,0.61,L5 IT_1 (61.3%),,,,,,,,,,,
53,20180110_sample_5,20180110_slice_5,1/10/2018,sample 5 ,mouse_GUIGR,11/5/2017,66,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,811180,747232,156013,1,13169,IT,L5 IT_2,0.46,L5 IT_2 (45.9%),,,,,,,,,,,
54,20180110_sample_7,20180110_slice_7,1/10/2018,sample 7,mouse_GUIGR,11/5/2017,66,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,908704,660373,91949,2,11194,IT,L5 IT_1,0.69,L5 IT_1 (68.6%),,,,,,,,,,,
55,20180110_sample_8,20180110_slice_8,1/10/2018,sample 8,mouse_GUIGR,11/5/2017,66,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,655899,521591,125756,1,13827,ET,L5 ET_4,0.93,L5 ET_4 (93.1%),,,,,,,,,,,
56,20180111_sample_5,20180111_slice_5,1/11/2018,sample 5,mouse_DYNRZ,11/5/2017,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,116828,46084,12077,1,6167,IT,L5 IT_3,0.61,L5 IT_3 (61.1%),,,,,,,,,,,
57,20180115_sample_2,20180115_slice_2,1/15/2018,sample 2,mouse_IZUBT,11/12/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,3583318,3704729,780026,1,19276,IT,L5 IT_1,0.49,L5 IT_1 (49.4%),,,,,,,,,,,
58,20180115_sample_5,20180115_slice_5,1/15/2018,sample 5,mouse_IZUBT,11/12/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,3756865,4067791,833207,1,18139,IT,L5 IT_1,0.96,L5 IT_1 (96.4%),L5 IT ALM Cpa6 Gpr88 (72.0%),,,,,,,,,,
59,20180115_sample_6,20180115_slice_6,1/15/2018,sample 6,mouse_IZUBT,11/12/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,710,1040,174,1,1110,low quality,,,,,2252,218.86,Fede,15,615.6,221.9,511.6,1412.016,y,
60,20180115_sample_7,20180115_slice_7,1/15/2018,sample 7,mouse_IZUBT,11/12/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,5022778,1772024,413672,1,18151,IT,L5 IT_1,0.74,L5 IT_1 (73.9%),,,,,,,,,,,
61,20180115_sample_8,20180115_slice_8,1/15/2018,sample 8,mouse_IZUBT,11/12/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,211358,176614,25829,1,11396,IT,L5 IT_1,0.86,L5 IT_1 (86.4%),,,,,,,,,,,
62,20180115_sample_9,20180115_slice_9,1/15/2018,sample 9,mouse_IZUBT,11/12/2017,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,332849,323248,66152,1,10880,IT,L5 IT_1,0.66,L5 IT_1 (66.0%),,,,,,,,,,,
63,20180118_sample_1,20180118_slice_1,1/18/2018,sample 1,mouse_OGLHO,11/12/2017,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,58459,91801,16418,1,9784,IT,L5 IT_2,0.55,L5 IT_2 (55.0%),,,,,,,,,,,
64,20180118_sample_2,20180118_slice_2,1/18/2018,sample 2,mouse_OGLHO,11/12/2017,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,9252544,5002204,1208972,1,12376,IT,L5 IT_1,0.95,L5 IT_1 (94.9%),,,,,,,,,,,
65,20180118_sample_4,20180118_slice_4,1/18/2018,sample 4,mouse_OGLHO,11/12/2017,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,257190,355474,75464,1,9780,IT,L5 IT_1,0.76,L5 IT_1 (75.7%),,,,,,,,,,,
66,20180118_sample_6,20180118_slice_6,1/18/2018,sample 6,mouse_OGLHO,11/12/2017,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,36211,66226,15308,1,16357,IT,L5 IT_1,0.94,L5 IT_1 (94.3%),,,,,,,,,,,
67,20180118_sample_7,20180118_slice_7,1/18/2018,sample 7,mouse_OGLHO,11/12/2017,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1130477,1777010,283176,1,19893,ET,L5 ET_1,1,L5 ET_1 (99.9%),L5 PT ALM Slco2a1 (92.0%),,,,,,,,,,
68,20180118_sample_10,20180118_slice_10,1/18/2018,sample 10,mouse_OGLHO,11/12/2017,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,5587589,8383614,1311553,1,19435,ET,L5 ET_4,0.91,L5 ET_4 (91.3%),,,,,,,,,,,
69,20180123_sample_1,20180123_slice_1,1/23/2018,sample 1,mouse_CNQDR,11/26/2017,58,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,3853403,3968861,731401,1,17303,ET,L5 ET_1,0.99,L5 ET_1 (99.4%),L5 PT ALM Slco2a1 (100.0%),2470,240.23,Fede,12,952,347.9,633.3,1747.908,,
70,20180123_sample_3,20180123_slice_3,1/23/2018,sample 3,mouse_CNQDR,11/26/2017,58,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,982575,1560697,270453,2,13027,ET,L5 ET_1,0.94,L5 ET_1 (93.7%),,,,,,,,,,,
71,20180123_sample_5,20180123_slice_5,1/23/2018,sample 5,mouse_CNQDR,11/26/2017,58,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,192559,138402,25497,1,11192,ET,L5 ET_1,0.52,L5 ET_1 (51.7%),,,,,,,,,,,
72,20180123_sample_6,20180123_slice_6,1/23/2018,sample 6,mouse_CNQDR,11/26/2017,58,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,2478046,3875499,571483,1,18183,ET,L5 ET_1,0.95,L5 ET_1 (95.0%),L5 PT ALM Slco2a1 (77.0%),,,,,,,,,,
73,20180123_sample_7,20180123_slice_7,1/23/2018,sample 7,mouse_CNQDR,11/26/2017,58,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,2724150,2210396,353156,1,15079,ET,L5 ET_4,0.94,L5 ET_4 (93.7%),,,,,,,,,,,
74,20180208_sample_1,20180208_slice_1,2/8/2018,sample 1,mouse_HDBFV,10/9/2017,122,F,Viaat-Cre/wt; Ai9/wt,5,5,VIAAT-,2,4,1,3,11,low quality,,,,,2013,207.36,Fede,15,734.5,274.1,599.2,1653.792,y,
75,20180208_sample_2,20180208_slice_2,2/8/2018,sample 2,mouse_HDBFV,10/9/2017,122,F,Viaat-Cre/wt; Ai9/wt,5,5,VIAAT-,324845,365272,64262,2,11247,ET,L5 ET_1,1,L5 ET_1 (99.9%),L5 PT ALM Slco2a1 (96.0%),2415,110.5,Fede,11,880.8,303.9,609.2,1681.392,y,
76,20180208_sample_3,20180208_slice_3,2/8/2018,sample 3,mouse_HDBFV,10/9/2017,122,F,Viaat-Cre/wt; Ai9/wt,5,5,VIAAT-,226609,409326,76790,2,11567,ET,L5 ET_1,0.99,L5 ET_1 (99.0%),L5 PT ALM Slco2a1 (100.0%),2143,362.99,Fede,14,799,308,510.2,1408.152,,
77,20180208_sample_4,20180208_slice_4,2/8/2018,sample 4,mouse_HDBFV,10/9/2017,122,F,Viaat-Cre/wt; Ai9/wt,5,5,VIAAT-,784333,241579,60294,2,12807,IT,L5 IT_2,0.58,L5 IT_2 (58.3%),,,,,,,,,,,
78,20180208_sample_5,20180208_slice_5,2/8/2018,sample 5,mouse_HDBFV,10/9/2017,122,F,Viaat-Cre/wt; Ai9/wt,5,5,VIAAT-,793093,842776,122285,2,10777,IT,L5 IT_2,0.56,L5 IT_2 (56.0%),,,,,,,,,,,
79,20180213_sample_3,20180213_slice_3,2/13/2018,sample 3,mouse_JDVRZ,11/30/2017,75,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1222199,1632083,263658,2,12476,ET,L5 ET_3,0.68,L5 ET_3 (68.1%),,,,,,,,,,,
80,20180213_sample_5,20180213_slice_5,2/13/2018,sample 5,mouse_JDVRZ,11/30/2017,75,M,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,592231,260860,48470,2,10703,Pvalb,Pvalb Gpr149,0.99,Pvalb Gpr149 (98.7%),Pvalb Gpr149 Islr (83.0%),,,,,,,,,,
81,20180215_sample_1,20180215_slice_1,2/15/2018,sample 1,mouse_LBJDN,11/30/2017,77,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,2295515,334341,108871,2,7722,Pvalb,Pvalb Reln,0.72,Pvalb Reln (72.3%),,,,,,,,,,,
82,20180220_sample_1,20180220_slice_1,2/20/2018,sample 1,mouse_POHNW,10/9/2017,134,F,Viaat-Cre/wt; Ai9/wt,5,5,VIAAT+,135671,218642,34124,3,6905,Sst,Sst Crhr2_1,0.43,Sst Crhr2_1 (42.7%),,,,,,,,,,,
83,20180220_sample_2,20180220_slice_2,2/20/2018,sample 2,mouse_POHNW,10/9/2017,134,F,Viaat-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIAAT-,291033,454123,83265,2,10871,IT,L4/5 IT_2,0.94,L4/5 IT_2 (94.1%),,,,,,,,,,,
84,20180225_sample_1,20180225_slice_1,2/25/2018,sample 1,mouse_YHUPM,12/30/2017,57,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV-,249829,420351,70733,2,9327,IT,L2/3 IT_3,0.83,L2/3 IT_3 (82.9%),,,,,,,,,,,
85,20180225_sample_2,20180225_slice_2,2/25/2018,sample 2,mouse_YHUPM,12/30/2017,57,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV-,305192,581824,73288,2,9385,IT,L2/3 IT_3,0.86,L2/3 IT_3 (85.9%),,,,,,,,,,,
86,20180225_sample_3,20180225_slice_3,2/25/2018,sample 3,mouse_YHUPM,12/30/2017,57,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV-,872002,1188248,202154,2,10166,IT,L4/5 IT_1,0.97,L4/5 IT_1 (96.9%),L4 IT VISp Rspo1 (97.0%),2015,94.37,Fede,10,388,146.4,560.1,1545.876,y,
87,20180225_sample_4,20180225_slice_4,2/25/2018,sample 4,mouse_YHUPM,12/30/2017,57,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,5,PV-,2069576,718204,145841,2,13566,IT,L5 IT_1,0.98,L5 IT_1 (97.7%),L5 IT ALM Cpa6 Gpr88 (80.0%),,,,,,,,,,
88,20180225_sample_5,20180225_slice_5,2/25/2018,sample 5,mouse_YHUPM,12/30/2017,57,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,5,PV-,823232,1274323,191722,2,10841,ET,L5 ET_2,0.85,L5 ET_2 (84.6%),,,,,,,,,,,
89,20180225_sample_7,20180225_slice_7,2/25/2018,sample 7,mouse_YHUPM,12/30/2017,57,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1575426,884691,154041,2,10023,Pvalb,Pvalb Reln,0.83,Pvalb Reln (82.9%),,,,,,,,,,,
90,20180228_sample_3,20180228_slice_3,2/28/2018,sample 3,mouse_ROUXZ,12/30/2017,60,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV-,660669,659765,110843,2,8778,IT,L2/3 IT_3,0.69,L2/3 IT_3 (69.0%),,,,,,,,,,,
91,20180306_sample_1,20180306_slice_1,3/6/2018,sample 1,mouse_YMIOM,1/10/2018,55,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,398522,693288,112269,2,8472,Pvalb,Pvalb Reln,0.89,Pvalb Reln (88.9%),,,,,,,,,,,
92,20180306_sample_2,20180306_slice_2,3/6/2018,sample 2,mouse_YMIOM,1/10/2018,55,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV-,197918,281264,68680,2,8476,IT,L2/3 IT_3,0.8,L2/3 IT_3 (79.9%),,,,,,,,,,,
