cell id,"""apical"" branch points","""apical"" height","""apical"" log1p number of outer bifurcations","""apical"" mean bifurcation distance","""apical"" robust height","""apical"" robust width","""apical"" std bifurcation distance","""apical"" total length","""apical"" width",EMD axon dendrite,Log1p fraction of axon above dendrite,Log1p fraction of axon below dendrite,Log1p fraction of dendrite above axon,axon above soma,axon bifurcation standard deviation,axon branch points,axon first bifurcation moment,axon height,axon log min tortuosity,axon max Euclidean dist,axon max branch order,axon max path distance to soma,axon max segment length,axon mean neurite radius,axon min branch angle,axon robust height,axon robust width,axon tips,axon total length,axon width,axon x-bias,axon z-bias,dendrite above soma,dendrite bifurcation standard deviation,dendrite branch points,dendrite first bifurcation moment,dendrite height,dendrite log max tortuosity,dendrite log median tortuosity,dendrite log min tortuosity,dendrite max Euclidean dist,dendrite max branch order,dendrite max path distance to soma,dendrite max segment length,dendrite mean neurite radius,dendrite median path angle,dendrite min branch angle,dendrite robust height,dendrite robust width,dendrite tips,dendrite total length,dendrite width,dendrite x-bias,dendrite z-bias,mean initial segment radius,normalized depth,soma radius,stems,stems exiting down,stems exiting to the sides,stems exiting up,normalized layer,cell class
20180306_sample_2,22,347.16,2.197224577,0.20355805,281.1395,241.1665,0.120283447,2903.732225,354.69,,,,,,,,,,,,,,,,,,,,,,,,,83.31663394,45,51.758,440.61,1.320554716,,0.009043633,341.9616122,10,465.9608179,203.8594267,0.402447917,14.8609689,16.48050203,349.871,213.93925,52,5951.908383,354.69,65.47,170.19,,0.175714428,9.080773642,7,0.285714286,0.285714286,0.428571429,3-Feb,exc
20190418_sample_4,19,250.38,1.098612289,0.217681881,208.884,104.7975,0.13518104,1620.061644,123.03,,,,,,,,,,,,,,,,,,,,,,,,,56.95675204,30,47.242,325.21,0.71914235,,0,255.6076454,15,361.5489829,110.5362937,0.281439394,23.85100678,36.0738161,272.09125,112.4475,37,2807.690605,163.95,10.57,164.19,,0.819681809,11.33841944,8,0.125,0.75,0.125,6,exc
20190926_sample_2,39,691.59,2.302585093,0.193918917,640.6345,191.27025,0.204267653,5714.407846,317.22,,,,,,,,,,,,,,,,,,,,,,,,,175.8417073,62,110.291129,807.12,1.118655765,,7.60E-05,661.2349872,18,957.3532616,457.109203,0.280643939,15.12137664,8.306229242,682.14,234.41,71,9229.30285,343.85,95.45,491.44,,0.5126017,24.40309337,8,0.25,0.625,0.125,5,exc
20171207_sample_6,29,884.31,2.302585093,0.283246925,820.625,210.835,0.275740702,4536.961006,320.74,,,,,,,,,,,,,,,,,,,,,,,,,279.4955475,37,217.1091892,885.08,0.563006205,,0.045855563,792.6338838,20,1026.829737,352.6528342,0.229578313,25.32250886,10.81768319,829.5675,260.32625,47,6203.502237,409.19,34.01,676.64,,0.525322851,10.78660875,10,0.1,0.7,0.2,5,exc
20190321_sample_4,17,578.35,1.609437912,0.200429741,463.852,175.729,0.1940937,2520.839709,244.03,,,,,,,,,,,,,,,,,,,,,,,,,132.0171606,29,39.42655172,746.57,0.67517559,,0.038723036,464.796691,14,605.8859736,251.4117931,0.507461538,13.45584298,19.74543397,583.31525,226.97625,37,4818.26305,307.06,0.24,119.43,,0.753895564,12.17711567,6,0.333333333,0.5,0.166666667,6,exc
20190409_sample_8,11,342.34,0.693147181,0.19126449,241.91625,136.28675,0.113940771,1632.528979,142.33,,,,,,,,,,,,,,,,,,,,,,,,,56.5709862,13,70.67230769,431.51,0.426208042,,0.097642856,392.393817,11,512.506034,238.9406716,0.161060606,22.1434631,49.30109564,371.59275,119.2345,21,2324.865565,149.28,3.26,253.17,,0.813591922,13.71264526,9,0.222222222,0.222222222,0.555555556,6,exc
20180509_sample_3,23,317.17,2.079441542,0.211279587,287.7015,220.01175,0.182197148,2569.101444,239.7,,,,,,,,,,,,,,,,,,,,,,,,,79.31272828,44,44.35954545,429.25,1.019873626,,0.041224703,282.9639931,13,448.3893998,179.5579616,0.246684783,20.96223478,14.911272,347.9515,227.8135,49,5630.323028,308.21,13.41,127.63,,0.209379613,7.613469355,6,0.333333333,0.5,0.166666667,3-Feb,exc
20180426_sample_7,7,462.39,1.098612289,0.232361218,448.05,268.268,0.324931399,1457.673916,282.34,,,,,,,,,,,,,,,,,,,,,,,,,145.7917016,12,70.73166667,539.82,0.421059946,,0.037049779,449.7893112,6,544.3980656,431.5584887,0.587666667,12.25275952,13.3964969,469.51,230.835,19,2641.342666,282.34,57.26,337.76,,0.42768457,7.268740653,7,0.142857143,0.857142857,0,5,exc
20180426_sample_3,20,203.39,1.945910149,0.226856332,198.11725,181.388,0.137093129,2137.627025,215.32,,,,,,,,,,,,,,,,,,,,,,,,,58.97942993,51,29.49313725,306.59,1.430963796,,0,215.8408138,10,318.2028582,139.3749664,0.409086957,20.37610646,11.5691363,250.238,173.572,65,5962.833493,247.79,7.75,98.71,,0.198981455,7.33674434,11,0.272727273,0.454545455,0.272727273,3-Feb,exc
20180110_sample_5,22,661.22,1.386294361,0.176837566,455.35125,272.65,0.13651353,3922.787346,314.97,,,,,,,,,,,,,,,,,,,,,,,,,97.79836373,41,59.71219512,661.22,0.823005864,,0.043292736,495.5032571,14,713.290027,279.9569685,0.196868132,22.92355184,19.33028334,487.122,280.0475,51,7885.662692,382.05,18.27,299.9,,0.516531428,8.970935159,10,0.1,0.8,0.1,5,exc
20190821_sample_2,5,144.97,0,0.021865935,128.6845,145.10025,0.041944492,608.4865793,178.62,,,,,,,,,,,,,,,,,,,,,,,,,23.78253536,19,-13.79894737,245.15,0.97274542,,0.073122447,147.2724363,5,206.7097623,175.4535098,0.533536585,12.52626137,32.43411157,199.333,181.372,23,2054.586902,228.29,11.41,12.37,,0.365942643,7.222138826,5,0.2,0.6,0.2,5,exc
20171207_sample_1,34,669.55,1.386294361,0.171483014,641.9375,157.4875,0.138085115,4130.21285,237.52,,,,,,,,,,,,,,,,,,,,,,,,,126.8758035,56,70.33928571,826.04,1.163818833,,9.05E-05,644.6862838,17,857.6561365,499.4657744,0.173291667,21.61477894,2.918110488,702.992,210.27325,65,7832.48667,282.81,8.43,426.3,,0.586575293,15.61752728,9,0.111111111,0.666666667,0.222222222,5,exc
20180123_sample_7,45,714.78,2.944438979,0.260741814,680.7005,317.597,0.202883963,7508.095619,446.72,,,,,,,,,,,,,,,,,,,,,,,,,235.7359325,66,189.3340909,806.49,0.797830769,,0.002758114,697.8090675,24,1099.999436,270.3659307,0.273165468,18.57488763,8.793693532,709.6525,335.20925,74,11061.96403,493.19,77.09,517.23,,0.397671339,13.2933832,7,0.142857143,0.571428571,0.285714286,5,exc
20190927_sample_4,25,361.15,1.386294361,0.163543688,308.9835,202.62275,0.14858958,2763.9353,248.45,,,,,,,,,,,,,,,,,,,,,,,,,69.02750518,50,29.8538,479.89,2.228701097,,0.002433316,354.4809819,13,485.4844044,176.520599,0.300970874,19.22069531,15.90927975,382.515,241.5365,54,5880.793606,387.91,77.61,206.23,,0.827896726,16.92497612,5,0.4,0.4,0.2,6,exc
20190410_sample_7,12,497.05,0,0.097805517,364.375,219.59625,0.074177151,2067.312392,247.34,,,,,,,,,,,,,,,,,,,,,,,,,48.09549185,21,33.35666667,543.06,1.630772162,,0.02918345,441.5828554,11,632.8657862,362.8466412,0.217291667,17.73554206,37.58460564,439.7635,189.607,28,3316.474385,248.1,1.32,339.76,,0.802086672,9.727354618,8,0.375,0.5,0.125,6,exc
20180313_sample_2,29,356.58,3.044522438,0.247863301,316.8165,185.26425,0.109455914,3760.738631,352.98,,,,,,,,,,,,,,,,,,,,,,,,,104.0304165,53,68.1709434,429.66,1.378601525,,0.017486658,300.2649971,12,467.7048146,199.5266215,0.660840336,16.6912554,13.25197405,359.33625,215.3775,67,7472.703707,352.98,53.58,149.1,,0.183021558,11.17980998,10,0.2,0.4,0.4,3-Feb,exc
20190325_sample_5,8,342.62,0,0.155391449,256.736,161.5345,0.071539928,1217.924089,193.18,,,,,,,,,,,,,,,,,,,,,,,,,49.08345005,13,44.44923077,414.84,0.603510573,,0.069934501,366.9005414,8,506.1244113,349.4271065,0.27515625,20.11949558,20.39227953,377.6975,172.2545,20,2214.793158,205.57,6.59,260.88,,0.697646757,17.6425271,8,0.25,0.625,0.125,5,exc
20180828_sample_7,29,243.07,2.197224577,0.078853901,206.636,504.48925,0.174016511,4769.837082,535.97,,,,,,,,,,,,,,,,,,,,,,,,,54.24154925,44,43.73113636,287.6,1.204162001,,0.024668447,318.7927167,12,526.5530212,239.1340308,0.456236559,14.87982441,13.11424022,238.69,465.9,50,7392.050818,535.97,65.69,59.26,,0.131257303,11.19711681,7,0.285714286,0.428571429,0.285714286,3-Feb,exc
20190927_sample_1,11,335.04,1.791759469,0.242711388,307.158,165.11,0.192039229,1609.586855,202.25,,,,,,,,,,,,,,,,,,,,,,,,,70.12102434,14,68.83142857,352.32,1.182752388,,0.090029798,242.8482425,5,338.7867577,177.5736303,0.6021875,11.85783708,22.99883335,293.723,158.595,19,2397.941857,202.25,20.55,115.26,,0.208791462,10.45915404,5,0.2,0.6,0.2,3-Feb,exc
20190325_sample_7,3,139.59,0,0.287752667,129.223,62.433,0.072970206,375.5028664,64.96,,,,,,,,,,,,,,,,,,,,,,,,,33.34048729,11,4.807272727,263.57,0.469950298,,0.028001504,150.0063179,5,185.1957367,177.9088088,0.2202,20.27336569,9.515893872,216.123,166.837,15,1282.577727,208.44,67.8,15.61,,0.852923472,9.946278838,5,0.2,0.4,0.4,6,exc
20191003_sample_6,8,272.37,0.693147181,0.150870686,247.8135,413.564,0.164224901,1720.962207,500.54,,,,,,,,,,,,,,,,,,,,,,,,,17.76745287,14,2.594285714,272.37,0.779944527,,0.029882749,398.0441781,7,550.7552483,325.7691663,0.526166667,13.2098304,27.91551878,214.99525,546.8875,17,3090.540103,630.27,130.97,92.69,,0.946908487,11.04852187,3,0,0.666666667,0.333333333,6,exc
20180104_sample_6,33,725.03,2.397895273,0.231201071,625.36425,263.666,0.195610123,5440.774716,392.99,,,,,,,,,,,,,,,,,,,,,,,,,203.9692808,41,190.6246341,749.61,1.580570186,,0.024743963,636.6519594,24,956.6125156,468.8252068,0.556516854,8.757856983,14.2118696,669.8025,228.52475,49,7678.569237,393.08,2.16,517.49,,0.495023757,10.23939582,8,0.125,0.75,0.125,5,exc
20180329_sample_8,15,560.7,2.302585093,0.464459997,536.49675,192.53775,0.310381081,1776.317945,305.99,,,,,,,,,,,,,,,,,,,,,,,,,199.5069474,18,221.4566667,647.46,0.791083473,,0.04176958,491.2692868,10,585.2032581,284.621929,0.616794872,10.55023052,12.94365778,570.981,303.591,22,2535.827534,362.54,126.76,325.26,,0.393459951,7.757792959,5,0.2,0.2,0.6,5,exc
20180501_sample_2,16,278.53,2.197224577,0.278453294,243.34625,258.2675,0.112551903,2354.032904,291.22,,,,,,,,,,,,,,,,,,,,,,,,,79.42477742,23,92.17521739,414.39,1.326043847,,0.057599027,297.1428862,10,433.958683,245.0206163,0.55254717,12.29097259,17.18017051,343.033,230.166,31,3761.805129,291.34,5.14,142.67,,0.215203257,7.961025101,7,0.142857143,0.571428571,0.285714286,3-Feb,exc
20180108_sample_9,28,767.58,1.098612289,0.165925132,690.767,250.6865,0.177007669,3607.244448,325.88,,,,,,,,,,,,,,,,,,,,,,,,,146.7089148,48,80.64145833,860.2,1.007054248,,0.006829974,743.6761579,14,911.2262981,272.080813,0.386201923,23.88823381,10.24688938,700.7,324.116,57,6825.387342,468.33,90.77,598.16,,0.538152026,12.44555774,9,0.222222222,0.333333333,0.444444444,5,exc
20190410_sample_10,19,394.08,1.945910149,0.257717257,324.24075,217.9425,0.131020541,2495.290884,237.93,,,,,,,,,,,,,,,,,,,,,,,,,89.57323832,20,154.556,407.21,0.98133275,,0.08519319,427.4201035,14,640.7494376,188.8143205,0.13,22.74023876,41.0451243,358.914,182.97525,23,2606.711197,237.93,7.29,381.07,,0.846851109,5.809589727,4,0.25,0.5,0.25,6,exc
20190320_sample_4,2,71.04,0.693147181,0.180064168,67.36625,72.36875,0.043800785,412.5864883,77.33,,,,,,,,,,,,,,,,,,,,,,,,,19.87250623,10,-2.796,174.18,1.000727522,,0.046781558,164.8219406,3,209.0366005,188.5150199,0.7586,14.04068958,33.93271383,152.876,238.806,16,2050.104793,301.8,25.74,32.1,,0.944502969,8.124570354,7,0.142857143,0.571428571,0.285714286,6,exc
20180123_sample_6,35,704.82,2.302585093,0.217707251,680.976,214.688,0.189134639,6441.569323,272.75,,,,,,,,,,,,,,,,,,,,,,,,,209.3299292,59,125.6016949,884.16,1.040734274,,0.040847776,719.2520169,21,1119.549039,289.8832279,0.194656489,18.35840996,5.475525153,798.677,220.8625,73,11239.73467,343.78,44.46,483.16,,0.466498711,15.06269138,13,0.153846154,0.538461538,0.307692308,5,exc
20190328_sample_3,10,463.4,0.693147181,0.200606873,414.2495,169.6005,0.163070783,1531.790897,206.13,,,,,,,,,,,,,,,,,,,,,,,,,101.9194483,15,82.152,562.63,0.67556101,,0.047387654,479.5693843,11,629.0715234,179.2552441,0.7609375,12.04069185,15.58163663,495.3335,174.0265,18,2293.834392,218.55,13.53,357.69,,0.88983773,11.47937631,4,0.25,0.5,0.25,6,exc
20190506_sample_4,10,385.31,0.693147181,0.172420338,293.11475,218.30575,0.112661137,1868.245524,242.86,,,,,,,,,,,,,,,,,,,,,,,,,63.92872283,12,71.8525,471.03,0.69669337,,0.092572941,415.5663014,11,561.56235,261.7602453,0.566923077,13.14974317,48.71348208,421.333,163.7085,15,2358.290055,242.86,17.74,286.41,,0.900522214,8.120281315,4,0.25,0.75,0,6,exc
20180115_sample_9,20,649.18,1.791759469,0.280555755,590.85,258.48875,0.24828611,3757.757644,273.66,,,,,,,,,,,,,,,,,,,,,,,,,178.2647887,33,118.7593939,789.28,1.097140239,,0.00682856,599.9569992,14,741.670129,300.7389484,0.823181818,10.06359,14.90035631,683.18,226.065,45,6667.731729,279.99,29.33,397.66,,0.457288938,13.17921027,9,0.111111111,0.666666667,0.222222222,5,exc
20190425_sample_16,13,192.67,1.098612289,0.119853492,175.47775,166.264,0.096330458,1880.681618,222.37,,,,,,,,,,,,,,,,,,,,,,,,,43.80592254,16,45.165,353.48,0.80670953,,0.064699635,226.1908606,9,440.8668987,250.1934125,0.452205882,13.41207876,6.152211871,308.15075,160.173,19,2547.391981,222.37,9.83,44.62,,0.823980987,8.930184506,4,0.25,0.25,0.5,6,exc
20190108_sample_3,17,236.3,1.098612289,-0.051378541,190.98375,204.2925,0.083794327,2214.762672,252.33,,,,,,,,,,,,,,,,,,,,,,,,,32.10279563,34,16.57352941,252.36,1.171532268,,6.50E-05,186.9408586,11,297.4080385,214.8906109,0.3312,19.66113169,20.02606573,197.507,174.396,42,4555.728097,252.33,35.25,73.26,,0.103455371,8.640693723,8,0.125,0.625,0.25,3-Feb,exc
20171219_sample_8,41,683.64,2.63905733,0.273859168,648.098,204.134,0.256701357,5118.721429,247.94,,,,,,,,,,,,,,,,,,,,,,,,,214.3383378,61,152.2368852,786.08,1.474427036,,0,668.0101586,21,855.373172,207.1973097,0.277310606,23.43431393,3.350587299,674.315,178.935,72,8234.028207,248.58,5.76,549.56,,0.462115434,14.89820111,11,0.090909091,0.636363636,0.272727273,5,exc
20180405_sample_2,17,489.05,2.63905733,0.455966733,473.43125,192.84375,0.187699254,2309.20267,240.12,,,,,,,,,,,,,,,,,,,,,,,,,191.0105193,23,235.5665217,601.2,0.735563811,,0.01475704,494.3469114,12,694.1488184,165.3630525,0.3664,17.21775754,6.734521498,522.99,159.304,28,3231.896812,243.48,28.48,376.9,,0.332765705,8.292009159,6,0.333333333,0.333333333,0.333333333,5,exc
20180118_sample_4,32,682.55,1.098612289,0.157513822,496.5605,239.771,0.136450565,4628.840639,286.66,,,,,,,,,,,,,,,,,,,,,,,,,106.2313164,55,58.36036364,691.54,1.090048671,,0.013364611,534.5788886,18,767.4106305,257.6721735,0.237948718,21.99748995,11.13959217,535.24125,267.6075,63,8819.010953,376.91,18.37,373.18,,0.362922504,11.68083984,8,0.25,0.5,0.25,5,exc
20190423_sample_1,22,521.56,1.386294361,0.177299446,476.045,224.6455,0.144919765,3493.680459,270.14,,,,,,,,,,,,,,,,,,,,,,,,,100.3525192,26,96.45153846,617.56,1.87434758,,0.049844281,496.5845121,13,693.2507348,205.8858847,0.509067797,12.45518144,8.088116259,539.9045,181.9655,34,4726.686178,270.14,32.58,353.46,,0.807042327,8.061967753,7,0.142857143,0.285714286,0.571428571,6,exc
20191114_sample_3,18,247.86,1.386294361,0.20105508,214.34725,337.10725,0.1045877,2712.003911,390.6,,,,,,,,,,,,,,,,,,,,,,,,,40.87870935,38,53.65710526,291.63,0.8454647,,0.046098206,295.3013195,11,393.2818981,195.1069109,0.843823529,9.849140288,24.23118909,236.92825,282.029,48,6228.845569,390.6,97.04,53.25,,0.140544848,11.33813213,11,0.363636364,0.545454545,0.090909091,3-Feb,exc
20190326_sample_1,8,340.88,0,0.152206353,267.1595,123.22175,0.070333386,1259.721878,149.78,,,,,,,,,,,,,,,,,,,,,,,,,54.40961367,15,34.67066667,472.27,1.173422677,,0.085668964,370.1234237,8,550.274165,335.249559,0.461285714,13.91415078,4.880167193,401.367,151.0935,21,2612.680918,187.58,30.44,209.49,,0.741575634,8.485397272,6,0.5,0.166666667,0.333333333,6,exc
20180522_sample_4,20,437.36,2.079441542,0.256428712,428.7975,197.9375,0.233325273,2503.399619,330.2,,,,,,,,,,,,,,,,,,,,,,,,,132.8249835,42,71.57761905,617.25,2.086096846,,0,433.7029719,14,620.447326,241.0701493,0.398958333,21.19993202,15.80438196,521.79,266.4675,55,6236.771208,339.77,106.85,246.61,,0.353436976,13.06620283,12,0.333333333,0.5,0.166666667,5,exc
20191010_sample_1,16,552.7,1.386294361,0.224674274,509.47,289.198,0.187524777,2381.738265,342.79,,,,,,,,,,,,,,,,,,,,,,,,,134.3557758,30,73.97833333,686.51,0.750385614,,0.030303196,556.9308365,10,716.2718436,227.7177552,0.625923077,10.05505848,10.93192687,596.433,290.213,36,4901.781588,364.83,52.29,418.89,,0.445748979,14.27494978,7,0.142857143,0.714285714,0.142857143,5,exc
20180228_sample_3,16,194.06,0.693147181,0.050793615,178.88,372.263,0.106455773,1951.113902,490.7,,,,,,,,,,,,,,,,,,,,,,,,,57.18438723,27,39.58222222,313.74,0.960892135,,0.034055132,364.5261612,10,472.2643855,237.7442041,0.712033898,11.74847781,16.26729695,251.73175,402.05675,33,3352.014129,490.7,134.16,74.38,,0.15394204,10.00395059,6,0.166666667,0.5,0.333333333,3-Feb,exc
20180412_sample_4,19,225.17,2.302585093,0.240856872,192.10775,266.09475,0.137952678,2337.228282,283.05,,,,,,,,,,,,,,,,,,,,,,,,,69.66871547,32,66.271875,338.4,1.314403224,,0.021259665,262.3899522,11,360.264965,178.8147009,0.502971014,11.19607023,9.369973002,285.051,236.518,38,4200.137371,286.03,72.65,113.54,,0.170758085,10.04909583,6,0.166666667,0.666666667,0.166666667,3-Feb,exc
20190329_sample_5,7,202.31,0,0.218805383,171.0425,171.3625,0.08660161,1102.848542,198.1,,,,,,,,,,,,,,,,,,,,,,,,,33.46374968,17,25.36470588,271.45,0.902968601,,0.048507606,228.1505069,6,303.6791025,146.8546541,0.297,19.75729877,16.3067242,210.195,192.16,24,2641.261861,246,10.6,129.67,,0.72367198,19.9485726,7,0.428571429,0.571428571,0,5,exc
20190117_sample_4,8,306.46,2.079441542,0.41921319,295.393,158.90575,0.14760994,1388.155738,179.99,,,,,,,,,,,,,,,,,,,,,,,,,112.7985065,15,89.028,397.66,0.493531323,,0.142163401,312.011436,6,448.6348434,195.6448226,0.47921875,12.17145821,26.22528956,358.59475,185.043,18,2484.044795,241.46,7.74,180.26,,0.253212735,11.31066245,4,0.25,0.5,0.25,3-Feb,exc
