cell id,"""apical"" branch points","""apical"" height","""apical"" log1p number of outer bifurcations","""apical"" mean bifurcation distance","""apical"" robust height","""apical"" robust width","""apical"" std bifurcation distance","""apical"" total length","""apical"" width",EMD axon dendrite,Log1p fraction of axon above dendrite,Log1p fraction of axon below dendrite,Log1p fraction of dendrite above axon,axon above soma,axon bifurcation standard deviation,axon branch points,axon first bifurcation moment,axon height,axon log min tortuosity,axon max Euclidean dist,axon max branch order,axon max path distance to soma,axon max segment length,axon mean neurite radius,axon min branch angle,axon robust height,axon robust width,axon tips,axon total length,axon width,axon x-bias,axon z-bias,dendrite above soma,dendrite bifurcation standard deviation,dendrite branch points,dendrite first bifurcation moment,dendrite height,dendrite log max tortuosity,dendrite log median tortuosity,dendrite log min tortuosity,dendrite max Euclidean dist,dendrite max branch order,dendrite max path distance to soma,dendrite max segment length,dendrite mean neurite radius,dendrite median path angle,dendrite min branch angle,dendrite robust height,dendrite robust width,dendrite tips,dendrite total length,dendrite width,dendrite x-bias,dendrite z-bias,mean initial segment radius,normalized depth,soma radius,stems,stems exiting down,stems exiting to the sides,stems exiting up,normalized layer,cell class
20180220_sample_2,15,289.38,0,0.102537277,194.52,151.11025,0.062413824,1508.562435,155.52,,,,,,,,,,,,,,,,,,,,,,,,,29.66979682,23,17.63782609,381.63,0.742712678,,0.023273009,265.4134226,8,336.3533091,209.6712449,0.497142857,13.89935125,19.19084381,254.536,171.517,27,2748.28729,234.58,2.86,141.55,,0.203247237,8.548769392,5,0.4,0.4,0.2,3-Feb,exc
20171204_sample_5,31,716.21,2.079441542,0.253602664,649.68275,241.768,0.240736621,4315.606063,332.23,,,,,,,,,,,,,,,,,,,,,,,,,180.7946134,48,121.6168085,777.89,0.737403518,,2.32E-05,624.0092696,23,763.5128725,295.7878465,0.32009901,25.01527062,5.386528032,703.21375,284.32125,55,7360.786742,413.6,75.12,464.87,,0.450712615,10.5947852,8,0.25,0.5,0.25,5,exc
20180306_sample_3,10,201.8,2.079441542,0.32834357,159.96275,210.79625,0.099354338,1322.340219,219.38,,,,,,,,,,,,,,,,,,,,,,,,,80.25056151,42,15.27097561,334.21,1.00357211,,0.014715488,212.7782921,12,322.5058861,152.2023032,0.236489362,21.84544764,14.14346381,278.62925,201.12775,54,5239.68773,248.59,21.57,69.39,,0.172616231,8.355853787,13,0.307692308,0.384615385,0.307692308,3-Feb,exc
20190211_sample_10,14,520.45,1.098612289,0.177649154,446.425,197.285,0.13602198,2385.488536,201.29,,,,,,,,,,,,,,,,,,,,,,,,,93.6866054,26,61.23,627.02,0.586448907,,0.06518175,514.2911461,13,725.8932263,240.4954794,0.455,12.70995481,4.008465939,517.4055,163.69275,33,3990.102446,204.29,1.19,347.66,,0.694195736,9.582943383,6,0.333333333,0.5,0.166666667,5,exc
20190911_sample_9,15,384.66,1.098612289,0.226029179,312.052,150.316,0.113763792,1841.079663,163.94,,,,,,,,,,,,,,,,,,,,,,,,,62.13936903,16,105.383125,429.13,0.929343913,,0.090718842,415.9744507,12,548.023425,142.4392163,0.456142857,11.67944962,16.40578829,350.7435,130.30325,20,2097.887837,163.94,13.7,340.19,,0.757098553,7.076359,4,0.25,0.5,0.25,6,exc
20180313_sample_3,16,246.68,1.791759469,0.142615277,202.6085,217.4355,0.118183362,1903.751763,262.2,,,,,,,,,,,,,,,,,,,,,,,,,52.68561551,27,36.27185185,338.73,0.798287085,,0.018489069,228.0475641,9,357.8835,174.9085098,0.581724138,13.68220404,6.588998377,255.29375,190.9985,32,3188.967468,272.38,28.76,113.69,,0.194782399,10.56143457,6,0.166666667,0.666666667,0.166666667,3-Feb,exc
20180315_sample_2,30,309.75,2.302585093,0.144516244,266.1025,210.84525,0.102725883,4008.266156,265.25,,,,,,,,,,,,,,,,,,,,,,,,,57.41855818,47,53.38808511,384.59,1.56555387,,0.116156984,280.171061,11,492.8137826,202.8467215,0.137806122,21.89858435,13.93005464,287.9615,173.0505,52,6463.257307,269.52,2.66,130.17,,0.201086283,9.870685152,6,0.5,0.166666667,0.333333333,3-Feb,exc
20190412_sample_3,22,381.37,1.945910149,0.151701169,339.16875,195.11625,0.087649909,3281.280397,280.59,,,,,,,,,,,,,,,,,,,,,,,,,63.59194653,31,60.56548387,415.97,0.945495427,,0.044049467,313.1699735,16,469.2017721,222.5561458,0.329014085,19.00851902,7.999036886,333.759,207.711,41,5268.877868,313.72,48.28,184.93,,0.810463842,12.29377012,9,0.222222222,0.444444444,0.333333333,6,exc
20190415_sample_6,7,271.97,0,0.209024796,231.365,146.925,0.111327997,1038.00992,155.25,,,,,,,,,,,,,,,,,,,,,,,,,47.43717851,15,35.11533333,383.31,0.656630317,,0.07876547,298.3010391,7,385.6498422,175.6056312,0.214,20.47180997,37.82003939,269.50625,143.843,21,2366.584756,181.65,13.15,160.63,,0.809034476,5.947985312,7,0.142857143,0.571428571,0.285714286,6,exc
20180213_sample_3,28,692.96,2.302585093,0.293831934,664.3375,197.302,0.247852877,4313.354715,239.98,,,,,,,,,,,,,,,,,,,,,,,,,227.7214329,31,238.5967742,843.89,0.77766004,,0.028876373,707.5032089,18,904.6016214,402.4448717,0.248108108,20.3996008,9.844731857,740.38,159.4275,44,5525.982545,270.34,6.52,542.03,,0.533728023,9.125648529,13,0.230769231,0.615384615,0.153846154,5,exc
20190328_sample_6,15,471.91,1.098612289,0.154681775,444.723,83.318,0.182588542,1511.204339,130.5,,,,,,,,,,,,,,,,,,,,,,,,,83.95741277,28,51.72642857,558.54,0.808363048,,0.014839069,470.395834,11,578.8729141,231.0392137,0.180378788,20.39613336,10.19536501,500.097,119.9295,39,3241.338761,164.69,7.91,334.2,,0.826223734,27.60594316,12,0.333333333,0.416666667,0.25,6,exc
20190927_sample_2,19,373.89,1.791759469,0.217174316,334.4805,149.481,0.168234197,2399.277624,217.77,,,,,,,,,,,,,,,,,,,,,,,,,99.77355746,25,89.3048,451.72,0.76776369,,0.088508419,372.9327654,15,568.4526802,182.5731861,0.34254386,17.01400288,14.32662425,405.812,175.2025,33,3731.064181,286.98,8.32,283.62,,0.775846879,10.11464794,9,0.222222222,0.444444444,0.333333333,6,exc
20180115_sample_2,27,622.19,1.386294361,0.162235528,577.85,307.742,0.184453536,4444.962694,385.27,,,,,,,,,,,,,,,,,,,,,,,,,124.9708196,50,58.2316,783.89,0.907028121,,0,611.7387807,15,763.7313634,238.8962005,0.150648148,23.95920205,5.641252883,682.977,277.72375,59,8468.28063,385.27,0.97,418.37,,0.459075224,11.49066961,9,0.333333333,0.444444444,0.222222222,5,exc
20190722_sample_7,9,313.82,0.693147181,0.209213235,307.303,301.6695,0.116141531,1594.259153,401.6,,,,,,,,,,,,,,,,,,,,,,,,,73.03981009,12,14.47916667,391.29,0.617465268,,0.063288592,413.7320314,6,491.054615,342.6715426,0.3584,18.12186025,0.519099549,326.51625,446.082,14,2576.498726,601.26,201.94,-28.67,,0.905022254,8.886958352,3,0,0.666666667,0.333333333,6,exc
20180510_sample_5,14,414.39,2.197224577,0.32365464,406.03075,211.35375,0.208571275,2297.828225,225.31,,,,,,,,,,,,,,,,,,,,,,,,,147.0169402,29,97.40068966,587.35,0.830713832,,0.035399906,414.6026413,11,645.9353706,223.2965086,0.35484127,10.89339465,9.004109781,500.6025,281.955,35,5349.288033,363.51,55.19,241.43,,0.332908518,11.06765532,7,0.142857143,0.285714286,0.571428571,5,exc
20180322_sample_2,13,180.98,0.693147181,0.121850966,165.538,289.393,0.086502377,2169.236974,311.45,,,,,,,,,,,,,,,,,,,,,,,,,38.23901867,20,42.209,262.1,0.700747676,,0.028469556,243.6867975,7,369.7117417,216.1479744,0.503478261,12.01341757,15.16796703,217.66375,233.90625,27,3326.542753,311.7,10.24,99.86,,0.126573497,9.880746041,7,0.285714286,0.571428571,0.142857143,3-Feb,exc
