,cluster_id,cluster_label,cluster_color,subclass_id,subclass_label,subclass_color,neighborhood_id,neighborhood_label,neighborhood_color,class_id,class_label,class_color,cl,cluster_size,size
1,1,Lamp5 Pax6,#DDACC9,1,Lamp5,#DA808C,1,CGE,#CC93C2,1,GABAergic,#F05A28,1,700,700
2,2,Lamp5 Egln3_1,#FF88AD,1,Lamp5,#DA808C,1,CGE,#CC93C2,1,GABAergic,#F05A28,2,618,618
3,3,Lamp5 Egln3_2,#DD8091,1,Lamp5,#DA808C,1,CGE,#CC93C2,1,GABAergic,#F05A28,3,814,814
4,4,Lamp5 Egln3_3,#F08E98,1,Lamp5,#DA808C,1,CGE,#CC93C2,1,GABAergic,#F05A28,4,1276,1276
5,5,Lamp5 Pdlim5_1,#FF7290,1,Lamp5,#DA808C,1,CGE,#CC93C2,1,GABAergic,#F05A28,5,1288,1288
6,6,Lamp5 Pdlim5_2,#FF8C97,1,Lamp5,#DA808C,1,CGE,#CC93C2,1,GABAergic,#F05A28,6,2221,2221
7,7,Lamp5 Slc35d3,#FFA388,1,Lamp5,#DA808C,1,CGE,#CC93C2,1,GABAergic,#F05A28,7,6850,6850
8,8,Lamp5 Lhx6,#C77963,1,Lamp5,#DA808C,1,CGE,#CC93C2,1,GABAergic,#F05A28,8,633,633
9,9,Sncg Col14a1,#7E0ACB,2,Sncg,#D633FF,1,CGE,#CC93C2,1,GABAergic,#F05A28,9,697,697
10,10,Sncg Slc17a8,#9440F3,2,Sncg,#D633FF,1,CGE,#CC93C2,1,GABAergic,#F05A28,10,498,498
11,11,Sncg Calb1_1,#9611B6,2,Sncg,#D633FF,1,CGE,#CC93C2,1,GABAergic,#F05A28,11,321,321
12,12,Sncg Calb1_2,#9900B3,2,Sncg,#D633FF,1,CGE,#CC93C2,1,GABAergic,#F05A28,12,175,175
13,13,Sncg Npy2r,#7A0099,2,Sncg,#D633FF,1,CGE,#CC93C2,1,GABAergic,#F05A28,13,863,863
14,14,Vip Sncg,#AA4DB5,2,Sncg,#D633FF,1,CGE,#CC93C2,1,GABAergic,#F05A28,14,546,546
15,15,Vip Serpinf1_1,#A720FF,3,Vip,#B864CC,1,CGE,#CC93C2,1,GABAergic,#F05A28,15,254,254
16,16,Vip Serpinf1_2,#AB1DFF,3,Vip,#B864CC,1,CGE,#CC93C2,1,GABAergic,#F05A28,16,855,855
17,17,Vip Serpinf1_3,#FF5FCD,3,Vip,#B864CC,1,CGE,#CC93C2,1,GABAergic,#F05A28,17,315,315
18,18,Vip Htr1f,#FF4DC1,3,Vip,#B864CC,1,CGE,#CC93C2,1,GABAergic,#F05A28,18,1940,1940
19,19,Vip Gpc3,#B09FFF,3,Vip,#B864CC,1,CGE,#CC93C2,1,GABAergic,#F05A28,19,1518,1518
20,20,Vip C1ql1,#BD3D9A,3,Vip,#B864CC,1,CGE,#CC93C2,1,GABAergic,#F05A28,20,1838,1838
21,21,Vip Mybpc1_2,#992E81,3,Vip,#B864CC,1,CGE,#CC93C2,1,GABAergic,#F05A28,21,2361,2361
22,22,Vip Mybpc1_1,#F70CF3,3,Vip,#B864CC,1,CGE,#CC93C2,1,GABAergic,#F05A28,22,803,803
23,23,Vip Chat_1,#FF00FF,3,Vip,#B864CC,1,CGE,#CC93C2,1,GABAergic,#F05A28,23,3350,3350
24,24,Vip Mybpc1_3,#AB379C,3,Vip,#B864CC,1,CGE,#CC93C2,1,GABAergic,#F05A28,24,1064,1064
25,25,Vip Chat_2,#B3128A,3,Vip,#B864CC,1,CGE,#CC93C2,1,GABAergic,#F05A28,25,1060,1060
26,26,Vip Igfbp6_1,#7779BF,3,Vip,#B864CC,1,CGE,#CC93C2,1,GABAergic,#F05A28,26,963,963
27,27,Vip Igfbp6_2,#626EB8,3,Vip,#B864CC,1,CGE,#CC93C2,1,GABAergic,#F05A28,27,816,816
28,28,Sst Chodl,#FFFF00,4,Sst Chodl,#ECD704,2,MGE,#ED892E,1,GABAergic,#F05A28,28,876,876
29,29,Sst Penk,#FF8011,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,29,497,497
30,30,Sst Myh8_1,#FF9F2C,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,30,3161,3161
31,31,Sst Myh8_2,#FFB307,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,31,889,889
32,32,Sst Myh8_3,#FFBF09,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,32,419,419
33,33,Sst Htr1a,#BFAF00,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,33,697,697
34,34,Sst Etv1,#FFB22B,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,34,290,290
35,35,Sst Pvalb Etv1,#D9C566,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,35,342,342
36,36,Sst Crhr2_1,#BE8652,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,36,1657,1657
37,37,Sst Crhr2_2,#B0993C,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,37,1130,1130
38,38,Sst Hpse,#CDB115,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,38,1679,1679
39,39,Sst Calb2,#D2A328,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,39,2365,2365
40,40,Sst Pappa,#635821,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,40,16,16
41,41,Sst Pvalb Calb2,#784F14,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,41,2175,2175
42,42,Sst C1ql3_1,#802600,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,42,716,716
43,43,Sst C1ql3_2,#8A2B1A,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,43,646,646
44,44,Sst Tac2,#804600,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,44,437,437
45,45,Sst Th_1,#8C6012,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,45,460,460
46,46,Sst Th_2,#A81111,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,46,67,67
47,47,Sst Th_3,#9B211B,5,Sst,#FF9900,2,MGE,#ED892E,1,GABAergic,#F05A28,47,275,275
48,48,Pvalb Gabrg1,#ED4C50,6,Pvalb,#D93137,2,MGE,#ED892E,1,GABAergic,#F05A28,48,812,812
49,49,Pvalb Egfem1,#C05661,6,Pvalb,#D93137,2,MGE,#ED892E,1,GABAergic,#F05A28,49,544,544
50,50,Pvalb Gpr149,#E62A5D,6,Pvalb,#D93137,2,MGE,#ED892E,1,GABAergic,#F05A28,50,2007,2007
51,51,Pvalb Kank4,#BC4B11,6,Pvalb,#D93137,2,MGE,#ED892E,1,GABAergic,#F05A28,51,1633,1633
52,52,Pvalb Calb1_1,#B6411E,6,Pvalb,#D93137,2,MGE,#ED892E,1,GABAergic,#F05A28,52,448,448
53,53,Pvalb Calb1_2,#BC2D71,6,Pvalb,#D93137,2,MGE,#ED892E,1,GABAergic,#F05A28,53,1981,1981
54,54,Pvalb Reln,#9C4165,6,Pvalb,#D93137,2,MGE,#ED892E,1,GABAergic,#F05A28,54,5706,5706
55,55,Pvalb Il1rapl2,#BC2C41,6,Pvalb,#D93137,2,MGE,#ED892E,1,GABAergic,#F05A28,55,4216,4216
56,56,Pvalb Vipr2_1,#FF197F,6,Pvalb,#D93137,2,MGE,#ED892E,1,GABAergic,#F05A28,56,15,15
57,57,Pvalb Vipr2_2,#F4358B,6,Pvalb,#D93137,2,MGE,#ED892E,1,GABAergic,#F05A28,57,575,575
58,58,Meis2,#C60C0F,7,Meis2,#C60C0F,5,Other,#808080,1,GABAergic,#F05A28,58,50,50
59,59,Meis2_Top2a,#931010,7,Meis2,#C60C0F,5,Other,#808080,1,GABAergic,#F05A28,59,47,47
60,60,L2/3 IT_1,#00FF34,8,L2/3 IT,#C4EC04,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,60,2957,2957
61,61,L2/3 IT_2,#07D945,8,L2/3 IT,#C4EC04,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,61,4920,4920
62,62,L2/3 IT_3,#2EB934,8,L2/3 IT,#C4EC04,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,62,63878,63878
63,63,L4/5 IT_1,#09CCC6,9,L4/5 IT,#09CCC6,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,63,58919,58919
64,64,L4/5 IT_2,#52B8AA,9,L4/5 IT,#09CCC6,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,64,40701,40701
65,65,L5 IT_1,#58D2C1,10,L5 IT,#50B2AD,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,65,21847,27870
66,66,L5 IT_2,#4A9F93,10,L5 IT,#50B2AD,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,66,837,837
67,67,L5 IT_3,#4EAC9C,10,L5 IT,#50B2AD,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,67,5710,5710
68,68,L5 IT_4,#52B4B8,10,L5 IT,#50B2AD,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,68,14587,14587
69,69,L6 IT_1,#B2AD23,11,L6 IT,#A19922,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,69,6355,6355
70,70,L6 IT_2,#81791F,11,L6 IT,#A19922,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,70,14255,14255
71,71,L6 IT Car3,#5100FF,12,L6 IT Car3,#5100FF,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,71,1057,1057
72,72,L5 ET_1,#0D5D7E,13,L5 ET,#0D5B78,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,72,5799,5799
73,73,L5 ET_2,#0B77A5,13,L5 ET,#0D5B78,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,73,1211,1211
74,74,L5 ET_3,#0B8AA5,13,L5 ET,#0D5B78,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,74,760,760
75,75,L5 ET_4,#0A75B1,13,L5 ET,#0D5B78,3,IT-PT,#58D2CF,2,Glutamatergic,#00ADEE,75,1855,1855
76,76,L5/6 NP CT,#1AAB99,14,L6 CT,#2D8CB8,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,76,614,614
77,77,L6 CT Gpr139,#168577,14,L6 CT,#2D8CB8,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,77,558,558
78,78,L6 CT Cpa6,#338C5E,14,L6 CT,#2D8CB8,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,78,63938,63938
79,79,L6 CT Grp,#2FBCE5,14,L6 CT,#2D8CB8,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,79,1877,1877
80,80,L6 CT Pou3f2,#3E766C,14,L6 CT,#2D8CB8,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,80,7233,7233
81,81,L6 CT Kit_1,#516B78,14,L6 CT,#2D8CB8,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,81,565,565
82,82,L6 CT Kit_2,#557361,14,L6 CT,#2D8CB8,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,82,31,31
83,83,L6b Col6a1,#69419D,15,L6b,#53377D,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,83,1723,1723
