,cluster_id,cluster_label,cluster_color,subclass_id,subclass_label,subclass_color,neighborhood_id,neighborhood_label,neighborhood_color,class_id,class_label,class_color,cl,cluster_size,size
84,84,L6b Shisa6_1,#46306A,15,L6b,#53377D,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,84,1217,1217
85,85,L6b Shisa6_2,#464576,15,L6b,#53377D,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,85,1900,1900
86,86,L6b Ror1,#7044AA,15,L6b,#53377D,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,86,3046,3046
87,87,L6b Kcnip1,#573D90,15,L6b,#53377D,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,87,311,311
88,88,L5/6 NP_1,#48CB80,16,L5/6 NP,#3E9E64,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,88,2855,2855
89,89,L5/6 NP_2,#3C78BC,16,L5/6 NP,#3E9E64,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,89,3070,3070
90,90,L5/6 NP_3,#47867A,16,L5/6 NP,#3E9E64,4,NP-CT-L6b,#5959AD,2,Glutamatergic,#00ADEE,90,8248,8248
91,91,OPC Pdgfra,#2E3E39,17,OPC,#2E3E39,5,Other,#808080,3,Non-Neuronal,#808080,91,5234,5234
92,92,Astro_Top2a,#332F26,18,Astrocyte,#665C47,5,Other,#808080,3,Non-Neuronal,#808080,92,81,81
93,93,Astro Aqp4_Gfap,#5A503F,18,Astrocyte,#665C47,5,Other,#808080,3,Non-Neuronal,#808080,93,1739,1739
94,94,Astro Aqp4_Slc7a10,#8D7C5D,18,Astrocyte,#665C47,5,Other,#808080,3,Non-Neuronal,#808080,94,17606,17606
95,95,Oligo Enpp6_1,#374A45,19,Oligodendrocyte,#374A45,5,Other,#808080,3,Non-Neuronal,#808080,95,159,159
96,96,Oligo Enpp6_2,#5E8A79,19,Oligodendrocyte,#374A45,5,Other,#808080,3,Non-Neuronal,#808080,96,355,355
97,97,Oligo Enpp6_3,#3F574E,19,Oligodendrocyte,#374A45,5,Other,#808080,3,Non-Neuronal,#808080,97,105,105
98,98,Oligo Enpp6_4,#65978A,19,Oligodendrocyte,#374A45,5,Other,#808080,3,Non-Neuronal,#808080,98,175,175
99,99,Oligo Opalin_1,#474662,19,Oligodendrocyte,#374A45,5,Other,#808080,3,Non-Neuronal,#808080,99,4157,4157
100,100,Oligo Opalin_2,#6CA491,19,Oligodendrocyte,#374A45,5,Other,#808080,3,Non-Neuronal,#808080,100,15272,15272
101,101,Oligo Opalin_3,#4F7165,19,Oligodendrocyte,#374A45,5,Other,#808080,3,Non-Neuronal,#808080,101,939,939
102,102,Oligo Opalin_4,#72B09C,19,Oligodendrocyte,#374A45,5,Other,#808080,3,Non-Neuronal,#808080,102,649,649
103,103,Endo,#8D6A62,20,Endothelial,#8D6C62,5,Other,#808080,4,Non-Neural,#6C7557,103,3481,3481
104,104,VLMC_1,#3B3F32,21,VLMC,#697255,5,Other,#808080,4,Non-Neural,#6C7557,104,169,169
105,105,VLMC_2,#697255,21,VLMC,#697255,5,Other,#808080,4,Non-Neural,#6C7557,105,977,977
106,106,VLMC_3,#535944,21,VLMC,#697255,5,Other,#808080,4,Non-Neural,#6C7557,106,226,226
107,107,VLMC_4,#535945,21,VLMC,#697255,5,Other,#808080,4,Non-Neural,#6C7557,107,157,157
108,108,VLMC_5,#535946,21,VLMC,#697255,5,Other,#808080,4,Non-Neural,#6C7557,108,594,594
109,109,VLMC_6,#535947,21,VLMC,#697255,5,Other,#808080,4,Non-Neural,#6C7557,109,161,161
110,110,VLMC_7,#535948,21,VLMC,#697255,5,Other,#808080,4,Non-Neural,#6C7557,110,81,81
111,111,SMC,#A6906F,22,SMC,#807059,5,Other,#808080,4,Non-Neural,#6C7557,111,55,55
112,112,Peri,#A77C70,23,Pericyte,#665547,5,Other,#808080,4,Non-Neural,#6C7557,112,1532,1532
113,113,Micro,#6E7C6F,24,Microglia-PVM,#94AF97,5,Other,#808080,4,Non-Neural,#6C7557,113,8110,8110
114,114,PVM_1,#8BA38D,24,Microglia-PVM,#94AF97,5,Other,#808080,4,Non-Neural,#6C7557,114,323,323
115,115,PVM_2,#73967F,24,Microglia-PVM,#94AF97,5,Other,#808080,4,Non-Neural,#6C7557,115,30,30
116,116,PVM_3,#709F6D,24,Microglia-PVM,#94AF97,5,Other,#808080,4,Non-Neural,#6C7557,116,23,23
